state	rate
Alabama	32.0
Illinois	27.1
Montana	24.6
Rhode Island	25.4
Alaska	27.4
Indiana	30.8
Nebraska	28.4
South Carolina	30.8
Arizona	24.7
Iowa	29.0
Nevada	24.5
South Dakota	28.1
Arkansas	30.9
Kansas	29.6
New Hampshire	26.2
Tennessee	29.2
California	23.8
Kentucky	30.4
New Jersey	23.7
Texas	30.4
Colorado	20.7
Louisiana	33.4
New Mexico	26.3
Utah	24.4
Connecticut	24.5
Maine	27.8
New York	24.5
Vermont	25.4
Delaware	28.8
Maryland	28.3
North Carolina	29.1
Virginia	29.2
District of Columbia	23.7
Massachusetts	22.7
North Dakota	27.8
Washington	26.5
Florida	26.6
Michigan	31.3
Ohio	29.6
West Virginia	32.4
Georgia	28.0
Minnesota	25.7
Oklahoma	31.1
Wisconsin	27.7
Hawaii	21.8
Mississippi	34.9
Oregon	26.7
Wyoming	25.0
Idaho	27.0
Missouri	30.3
Pennsylvania	28.6
